BUILDING TYPE,TOTAL KWH,TOTAL POPULATION,TOTAL UNITS,AVERAGE STORIES,AVERAGE BUILDING AGE,AVERAGE HOUSESIZE,OCCUPIED UNITS,RENTER-OCCUPIED HOUSING UNITS
Residential,65850.0,94.0,34.0,2.33,91.67,2.94,32.0,18.0
Residential,96339.0,94.0,34.0,1.6,73.8,2.94,32.0,18.0
Residential,101587.0,96.0,33.0,2.1,84.0,3.56,27.0,17.0
Residential,29828.0,96.0,33.0,1.86,74.43,3.56,27.0,17.0
Residential,30721.0,110.0,27.0,2.0,66.0,4.23,26.0,13.0
Residential,65681.0,110.0,27.0,1.0,85.36,4.23,26.0,13.0
Residential,110745.0,124.0,41.0,2.45,90.45,3.65,34.0,12.0
Residential,87385.0,124.0,41.0,1.22,61.22,3.65,34.0,12.0
Residential,88369.0,131.0,35.0,2.5,97.75,3.97,33.0,17.0
Residential,108583.0,131.0,35.0,1.5,66.33,3.97,33.0,17.0
Residential,56383.0,164.0,38.0,2.57,92.57,4.69,35.0,23.0
Residential,139497.0,164.0,38.0,1.71,74.07,4.69,35.0,23.0
Residential,123077.0,101.0,33.0,2.08,92.33,3.48,29.0,13.0
Residential,47576.0,101.0,33.0,1.4,92.8,3.48,29.0,13.0
Residential,53064.0,110.0,34.0,2.0,82.71,3.33,33.0,15.0
Residential,87982.0,110.0,34.0,1.4,76.3,3.33,33.0,15.0
Residential,177804.0,133.0,34.0,1.9,74.0,4.03,33.0,20.0
Residential,87744.0,133.0,34.0,1.57,95.29,4.03,33.0,20.0
Residential,88402.0,130.0,41.0,2.0,76.4,3.25,40.0,27.0
Residential,68362.0,130.0,41.0,1.67,102.44,3.25,40.0,27.0
Residential,52598.0,57.0,20.0,2.0,95.6,2.85,20.0,7.0
Residential,77867.0,57.0,20.0,1.33,90.44,2.85,20.0,7.0
Residential,94955.0,131.0,40.0,2.0,83.9,3.64,36.0,26.0
Residential,46772.0,131.0,40.0,1.5,46.5,3.64,36.0,26.0
Residential,72662.0,85.0,33.0,2.33,99.0,2.74,31.0,14.0
Residential,164700.0,85.0,33.0,1.5,86.06,2.74,31.0,14.0
Residential,12302.0,100.0,33.0,2.0,93.5,3.45,29.0,16.0
Residential,93256.0,100.0,33.0,1.18,93.82,3.45,29.0,16.0
Residential,83738.0,94.0,37.0,2.17,93.67,2.61,36.0,22.0
Residential,120944.0,94.0,37.0,1.83,95.25,2.61,36.0,22.0
Residential,60663.0,100.0,32.0,2.0,95.0,3.23,31.0,16.0
Residential,66778.0,100.0,32.0,1.8,94.8,3.23,31.0,16.0
Commercial,167504.0,46.0,16.0,1.0,63.5,2.88,16.0,14.0
Residential,137752.0,46.0,16.0,2.25,103.25,2.88,16.0,14.0
Residential,34988.0,46.0,16.0,1.5,105.5,2.88,16.0,14.0
Commercial,617662.0,133.0,92.0,1.0,44.0,1.6,83.0,65.0
Commercial,296512.0,133.0,92.0,3.33,49.0,1.6,83.0,65.0
Residential,63052.0,133.0,92.0,1.78,92.78,1.6,83.0,65.0
Commercial,147475.0,125.0,44.0,1.67,62.67,2.91,43.0,43.0
Commercial,71254.0,27.0,12.0,1.67,90.0,2.25,12.0,11.0
Commercial,100087.0,27.0,12.0,1.5,47.5,2.25,12.0,11.0
Residential,261135.0,183.0,55.0,2.15,78.46,3.59,51.0,46.0
Commercial,54323.0,338.0,69.0,1.5,48.0,5.12,66.0,62.0
Residential,155642.0,338.0,69.0,2.67,89.89,5.12,66.0,62.0
Residential,117149.0,219.0,70.0,3.0,91.0,3.27,67.0,41.0
Residential,69258.0,219.0,70.0,2.5,92.5,3.27,67.0,41.0
Commercial,43949.0,174.0,62.0,3.0,88.0,2.95,59.0,43.0
Residential,158508.0,174.0,62.0,2.4,85.8,2.95,59.0,43.0
Residential,154104.0,203.0,71.0,2.56,94.33,3.5,58.0,41.0
Residential,201100.0,250.0,87.0,2.71,88.79,3.57,70.0,52.0
Commercial,149055.0,292.0,115.0,3.0,88.0,3.32,88.0,57.0
Residential,186964.0,292.0,115.0,2.3,92.0,3.32,88.0,57.0
Commercial,66478.0,212.0,54.0,3.0,89.0,4.24,50.0,37.0
Residential,131070.0,212.0,54.0,3.0,88.0,4.24,50.0,37.0
Residential,147942.0,67.0,21.0,1.11,93.26,3.35,20.0,3.0
Residential,117665.0,45.0,17.0,1.64,94.57,2.81,16.0,3.0
Residential,113633.0,64.0,18.0,1.86,92.14,3.56,18.0,3.0
Commercial,141451.0,407.0,115.0,2.0,45.0,3.95,103.0,96.0
Residential,154001.0,407.0,115.0,3.0,90.5,3.95,103.0,96.0
Residential,91166.0,29.0,14.0,1.92,95.17,2.42,12.0,1.0
Residential,99825.0,52.0,15.0,1.1,84.2,3.47,15.0,0.0
Residential,54886.0,52.0,15.0,1.11,95.56,3.47,15.0,2.0
Residential,16432.0,34.0,17.0,1.0,96.0,3.09,11.0,11.0
Commercial,213641.0,25.0,6.0,1.0,47.25,5.0,5.0,5.0
Residential,79021.0,69.0,21.0,1.77,94.69,3.29,21.0,8.0
