Event,White,Black,Result,UTCDate,UTCTime,WhiteElo,BlackElo,WhiteRatingDiff,BlackRatingDiff,ECO,Opening,TimeControl,Termination
 Bullet tournament ,Sklog,MrKit,0-1,2016.06.30,22:12:26,2013,2081,-10.0,10.0,A04,Zukertort Opening: Pirc Invitation,60+0,Time forfeit
 Bullet ,killerturtle,maslick,1-0,2016.06.30,22:12:28,1544,1769,17.0,-18.0,D02,Queen's Pawn Game: Zukertort Variation,0+4,Normal
 Classical ,ndalatando,laburle,0-1,2016.06.30,22:12:29,1620,1998,-2.0,3.0,B01,Scandinavian Defense: Mieses-Kotroc Variation,600+2,Normal
 Blitz tournament ,eshshennawy92,mo0o3az,0-1,2016.06.30,22:12:23,2113,2150,-12.0,11.0,D94,"Gruenfeld Defense: Three Knights Variation, Burille Variation",180+2,Normal
 Classical ,king101,MQXadrez,1-0,2016.06.30,22:12:29,1361,1199,9.0,-10.0,B16,Caro-Kann Defense: Bronstein-Larsen Variation,480+0,Normal
 Blitz ,aladin_00,chegora,0-1,2016.06.30,22:12:27,1749,1855,-8.0,8.0,C05,"French Defense: Tarrasch Variation, Closed Variation",300+0,Normal
 Bullet tournament ,LordFarsomin,zdiegol,0-1,2016.06.30,22:12:26,1320,1696,-2.0,2.0,C00,French Defense: Knight Variation,60+0,Normal
 Classical ,Daut,AFRISHAM-IRAN,1-0,2016.06.30,22:12:31,1930,1953,12.0,-12.0,B00,Owen Defense,600+0,Normal
 Classical ,dariosauro,mightytower,0-1,2016.06.30,22:12:32,1925,2210,-4.0,4.0,A05,King's Indian Attack: Symmetrical Defense,300+5,Normal
 Blitz ,username999,alanwillson,1-0,2016.06.30,22:12:32,1572,1459,8.0,-8.0,B27,Sicilian Defense: Polish Gambit,300+0,Normal
 Blitz ,roofbreaker,GMpouria,1-0,2016.06.30,22:12:30,2040,1911,7.0,-9.0,B21,"Sicilian Defense: Smith-Morra Gambit Declined, Push Variation",300+2,Normal
 Classical ,Haleguathor1,toytarao,0-1,2016.06.30,22:12:26,2141,2185,-10.0,10.0,C00,"French Defense: Horwitz Attack, Papa-Ticulat Gambit",480+0,Normal
