state,condition,measure_id,measure_name,score,start_date,end_date
CO,Sepsis Care,SEP_1,Percentage of patients who received appropriate care for severe sepsis and septic shock. Higher percentages are better,73.0,2023-04-01,2024-03-31
CO,Sepsis Care,SEP_SH_3HR,Septic Shock 3-Hour Bundle,80.0,2023-04-01,2024-03-31
CO,Sepsis Care,SEP_SH_6HR,Septic Shock 6-Hour Bundle,90.0,2023-04-01,2024-03-31
CO,Sepsis Care,SEV_SEP_3HR,Severe Sepsis 3-Hour Bundle,87.0,2023-04-01,2024-03-31
CO,Sepsis Care,SEV_SEP_6HR,Severe Sepsis 6-Hour Bundle,95.0,2023-04-01,2024-03-31
CT,Emergency Department,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,193.0,2023-04-01,2024-03-31
CT,Emergency Department,OP_18b_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),203.0,2023-04-01,2024-03-31
CT,Emergency Department,OP_18b_LOW_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (low),163.0,2023-04-01,2024-03-31
CT,Emergency Department,OP_18b_MEDIUM_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (moderate),204.0,2023-04-01,2024-03-31
CT,Emergency Department,OP_18b_VERY_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),192.0,2023-04-01,2024-03-31
CT,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit- Psychiatric/Mental Health Patients.  A lower number of minutes is better,272.0,2023-04-01,2024-03-31
CT,Emergency Department,OP_18c_HIGH_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (high),277.0,2023-04-01,2024-03-31
CT,Emergency Department,OP_18c_LOW_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (low),376.0,2023-04-01,2024-03-31
CT,Emergency Department,OP_18c_MEDIUM_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (moderate),279.0,2023-04-01,2024-03-31
CT,Emergency Department,OP_18c_VERY_HIGH_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (very high),245.0,2023-04-01,2024-03-31
CT,Emergency Department,OP_22,Percentage of patients who left the emergency department before being seen Lower percentages are better,2.0,2023-01-01,2023-12-31
CT,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes of arrival Higher percentages are better,72.0,2023-04-01,2024-03-31
CT,Colonoscopy care,OP_29,Percentage of patients receiving appropriate recommendation for follow-up screening colonoscopy Higher percentages are better,96.0,2023-01-01,2023-12-31
CT,Sepsis Care,SEP_1,Percentage of patients who received appropriate care for severe sepsis and septic shock. Higher percentages are better,57.0,2023-04-01,2024-03-31
CT,Sepsis Care,SEP_SH_3HR,Septic Shock 3-Hour Bundle,63.0,2023-04-01,2024-03-31
CT,Sepsis Care,SEP_SH_6HR,Septic Shock 6-Hour Bundle,85.0,2023-04-01,2024-03-31
CT,Sepsis Care,SEV_SEP_3HR,Severe Sepsis 3-Hour Bundle,77.0,2023-04-01,2024-03-31
CT,Sepsis Care,SEV_SEP_6HR,Severe Sepsis 6-Hour Bundle,92.0,2023-04-01,2024-03-31
DC,Emergency Department,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,310.0,2023-04-01,2024-03-31
DC,Emergency Department,OP_18b_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),292.0,2023-04-01,2024-03-31
DC,Emergency Department,OP_18b_MEDIUM_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (moderate),304.0,2023-04-01,2024-03-31
DC,Emergency Department,OP_18b_VERY_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),373.0,2023-04-01,2024-03-31
DC,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit- Psychiatric/Mental Health Patients.  A lower number of minutes is better,361.0,2023-04-01,2024-03-31
DC,Emergency Department,OP_18c_HIGH_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (high),359.0,2023-04-01,2024-03-31
DC,Emergency Department,OP_18c_MEDIUM_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (moderate),352.0,2023-04-01,2024-03-31
DC,Emergency Department,OP_18c_VERY_HIGH_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (very high),446.0,2023-04-01,2024-03-31
DC,Emergency Department,OP_22,Percentage of patients who left the emergency department before being seen Lower percentages are better,6.0,2023-01-01,2023-12-31
DC,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes of arrival Higher percentages are better,26.0,2023-04-01,2024-03-31
DC,Colonoscopy care,OP_29,Percentage of patients receiving appropriate recommendation for follow-up screening colonoscopy Higher percentages are better,94.0,2023-01-01,2023-12-31
DC,Sepsis Care,SEP_1,Percentage of patients who received appropriate care for severe sepsis and septic shock. Higher percentages are better,49.0,2023-04-01,2024-03-31
DC,Sepsis Care,SEP_SH_3HR,Septic Shock 3-Hour Bundle,58.0,2023-04-01,2024-03-31
DC,Sepsis Care,SEP_SH_6HR,Septic Shock 6-Hour Bundle,88.0,2023-04-01,2024-03-31
DC,Sepsis Care,SEV_SEP_3HR,Severe Sepsis 3-Hour Bundle,72.0,2023-04-01,2024-03-31
DC,Sepsis Care,SEV_SEP_6HR,Severe Sepsis 6-Hour Bundle,84.0,2023-04-01,2024-03-31
DE,Emergency Department,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,217.0,2023-04-01,2024-03-31
DE,Emergency Department,OP_18b_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),218.0,2023-04-01,2024-03-31
DE,Emergency Department,OP_18b_MEDIUM_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (moderate),170.0,2023-04-01,2024-03-31
DE,Emergency Department,OP_18b_VERY_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),283.0,2023-04-01,2024-03-31
DE,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit- Psychiatric/Mental Health Patients.  A lower number of minutes is better,418.0,2023-04-01,2024-03-31
DE,Emergency Department,OP_18c_HIGH_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (high),415.0,2023-04-01,2024-03-31
DE,Emergency Department,OP_18c_MEDIUM_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (moderate),288.0,2023-04-01,2024-03-31
DE,Emergency Department,OP_18c_VERY_HIGH_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (very high),522.0,2023-04-01,2024-03-31
DE,Emergency Department,OP_22,Percentage of patients who left the emergency department before being seen Lower percentages are better,5.0,2023-01-01,2023-12-31
DE,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes of arrival Higher percentages are better,73.0,2023-04-01,2024-03-31
DE,Colonoscopy care,OP_29,Percentage of patients receiving appropriate recommendation for follow-up screening colonoscopy Higher percentages are better,96.0,2023-01-01,2023-12-31
DE,Sepsis Care,SEP_1,Percentage of patients who received appropriate care for severe sepsis and septic shock. Higher percentages are better,48.0,2023-04-01,2024-03-31
DE,Sepsis Care,SEP_SH_3HR,Septic Shock 3-Hour Bundle,57.0,2023-04-01,2024-03-31
DE,Sepsis Care,SEP_SH_6HR,Septic Shock 6-Hour Bundle,81.0,2023-04-01,2024-03-31
DE,Sepsis Care,SEV_SEP_3HR,Severe Sepsis 3-Hour Bundle,76.0,2023-04-01,2024-03-31
DE,Sepsis Care,SEV_SEP_6HR,Severe Sepsis 6-Hour Bundle,82.0,2023-04-01,2024-03-31
FL,Emergency Department,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,158.0,2023-04-01,2024-03-31
FL,Emergency Department,OP_18b_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),158.0,2023-04-01,2024-03-31
FL,Emergency Department,OP_18b_LOW_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (low),141.0,2023-04-01,2024-03-31
FL,Emergency Department,OP_18b_MEDIUM_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (moderate),144.0,2023-04-01,2024-03-31
FL,Emergency Department,OP_18b_VERY_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),169.0,2023-04-01,2024-03-31
FL,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit- Psychiatric/Mental Health Patients.  A lower number of minutes is better,246.0,2023-04-01,2024-03-31
FL,Emergency Department,OP_18c_HIGH_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (high),241.0,2023-04-01,2024-03-31
FL,Emergency Department,OP_18c_LOW_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (low),209.0,2023-04-01,2024-03-31
FL,Emergency Department,OP_18c_MEDIUM_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (moderate),228.0,2023-04-01,2024-03-31
FL,Emergency Department,OP_18c_VERY_HIGH_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (very high),266.0,2023-04-01,2024-03-31
FL,Emergency Department,OP_22,Percentage of patients who left the emergency department before being seen Lower percentages are better,1.0,2023-01-01,2023-12-31
FL,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes of arrival Higher percentages are better,69.0,2023-04-01,2024-03-31
FL,Colonoscopy care,OP_29,Percentage of patients receiving appropriate recommendation for follow-up screening colonoscopy Higher percentages are better,89.0,2023-01-01,2023-12-31
FL,Sepsis Care,SEP_1,Percentage of patients who received appropriate care for severe sepsis and septic shock. Higher percentages are better,68.0,2023-04-01,2024-03-31
FL,Sepsis Care,SEP_SH_3HR,Septic Shock 3-Hour Bundle,73.0,2023-04-01,2024-03-31
FL,Sepsis Care,SEP_SH_6HR,Septic Shock 6-Hour Bundle,90.0,2023-04-01,2024-03-31
FL,Sepsis Care,SEV_SEP_3HR,Severe Sepsis 3-Hour Bundle,83.0,2023-04-01,2024-03-31
FL,Sepsis Care,SEV_SEP_6HR,Severe Sepsis 6-Hour Bundle,94.0,2023-04-01,2024-03-31
GA,Emergency Department,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,160.0,2023-04-01,2024-03-31
GA,Emergency Department,OP_18b_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),194.0,2023-04-01,2024-03-31
GA,Emergency Department,OP_18b_LOW_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (low),116.0,2023-04-01,2024-03-31
GA,Emergency Department,OP_18b_MEDIUM_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (moderate),157.0,2023-04-01,2024-03-31
GA,Emergency Department,OP_18b_VERY_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),218.0,2023-04-01,2024-03-31
GA,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit- Psychiatric/Mental Health Patients.  A lower number of minutes is better,308.0,2023-04-01,2024-03-31
GA,Emergency Department,OP_18c_HIGH_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (high),402.0,2023-04-01,2024-03-31
GA,Emergency Department,OP_18c_LOW_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (low),228.0,2023-04-01,2024-03-31
